,roundinfo_id,fight_id,fight_round,fighter_id,kd,sig_str_made,sig_str_attempted,sig_str_percent,total_str_made,total_str_attempted,td_made,td_attempted,td_percent,pass,rev,head_attempted,head_made,body_attempted,body_made,leg_attempted,leg_made,distance_attempted,distance_made,clinch_attempted,clinch_made,ground_attempted
22708,14229,3,5745,0,28,43,65,39,54,0,2,0,0,1,38,24,4,3,1,1,22,9,15,14,6,5
22709,14229,3,6557,0,19,31,61,62,77,0,1,0,1,0,26,14,5,5,0,0,25,13,6,6,0,0
22710,14230,1,6480,0,14,51,27,15,52,0,0,0,0,0,39,5,10,8,2,1,48,12,3,2,0,0
22711,14230,1,6546,0,10,74,13,14,79,0,2,0,0,0,57,6,11,1,6,3,70,9,4,1,0,0
22712,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22713,14230,2,6546,0,12,43,27,14,45,0,1,0,0,0,35,8,7,3,1,1,43,12,0,0,0,0
22714,14231,1,5720,0,8,26,30,9,27,0,0,0,0,0,23,6,1,0,2,2,25,7,0,0,1,1
22715,14231,1,6648,0,2,16,12,2,16,0,3,0,3,0,16,2,0,0,0,0,16,2,0,0,0,0
22716,14232,1,6524,0,8,26,30,11,29,0,0,0,0,0,15,1,3,2,8,5,21,3,5,5,0,0
22717,14232,1,6664,0,8,31,25,11,34,0,2,0,0,0,25,5,3,1,3,2,29,7,2,1,0,0
22718,14232,2,6524,1,23,58,39,25,60,0,0,0,0,0,39,10,6,4,13,9,47,12,7,7,4,4
22719,14232,2,6664,0,9,46,19,10,47,0,1,0,0,0,39,4,2,1,5,4,45,9,1,0,0,0
22720,14233,1,6686,0,1,15,6,1,15,0,0,0,1,1,15,1,0,0,0,0,14,1,1,0,0,0
22721,14233,1,6610,0,8,16,50,40,48,1,1,100,0,0,14,6,0,0,2,2,6,3,0,0,10,5
22722,14233,2,6686,0,7,24,29,8,25,1,2,50,1,1,24,7,0,0,0,0,21,6,3,1,0,0
22723,14233,2,6610,0,12,29,41,20,37,1,1,100,1,1,26,10,1,0,2,2,25,10,4,2,0,0
22724,14233,3,6686,0,2,21,9,2,21,0,1,0,0,0,21,2,0,0,0,0,21,2,0,0,0,0
22725,14233,3,6610,0,4,19,21,4,19,0,0,0,2,0,19,4,0,0,0,0,19,4,0,0,0,0
22726,14234,1,6637,0,35,76,46,55,96,0,0,0,0,0,63,23,7,7,6,5,59,24,17,11,0,0
22727,14234,1,6585,0,24,55,43,24,55,0,1,0,0,0,43,14,11,10,1,0,40,12,15,12,0,0
22728,14234,2,6637,0,58,83,69,78,104,0,0,0,1,0,75,50,8,8,0,0,44,26,39,32,0,0
22729,14234,2,6585,0,17,28,60,17,28,0,1,0,0,0,18,8,10,9,0,0,13,6,15,11,0,0
22730,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22731,14235,1,6738,0,0,3,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0
22732,14236,1,5858,0,16,31,51,22,38,0,2,0,0,0,13,4,3,1,15,11,19,8,12,8,0,0
22733,14236,1,6428,0,3,15,20,6,18,0,0,0,0,0,12,1,3,2,0,0,10,2,5,1,0,0
22734,14236,2,5858,0,19,39,48,20,40,0,1,0,1,0,20,3,8,6,11,10,35,17,4,2,0,0
22735,14236,2,6428,0,8,14,57,13,19,0,1,0,0,0,8,3,4,3,2,2,11,6,3,2,0,0
22736,14236,3,5858,0,23,41,56,29,47,1,2,50,0,0,24,9,6,5,11,9,31,16,3,2,7,5
22737,14236,3,6428,0,5,15,33,5,15,0,0,0,0,0,11,2,1,0,3,3,14,5,1,0,0,0
22738,14236,4,5858,0,3,6,50,3,6,1,1,100,1,0,5,2,1,1,0,0,4,1,0,0,2,2
22739,14236,4,6428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22740,14237,1,6759,0,14,53,26,14,53,0,0,0,0,0,53,14,0,0,0,0,51,14,2,0,0,0
22741,14237,1,6440,0,26,51,50,29,54,0,1,0,0,0,46,23,5,3,0,0,34,10,6,5,11,11
22742,14238,1,5234,0,13,29,44,14,30,2,8,25,0,0,29,13,0,0,0,0,17,3,0,0,12,10
22743,14238,1,5991,0,7,29,24,12,34,0,0,0,0,0,29,7,0,0,0,0,29,7,0,0,0,0
22744,14238,2,5234,0,3,10,30,3,10,0,2,0,0,0,10,3,0,0,0,0,10,3,0,0,0,0
22745,14238,2,5991,0,21,39,53,61,82,1,1,100,1,0,36,18,1,1,2,2,17,6,2,1,20,14
22746,14238,3,5234,0,3,11,27,6,14,0,4,0,0,0,11,3,0,0,0,0,11,3,0,0,0,0
22747,14238,3,5991,0,19,27,70,47,57,1,3,33,0,0,27,19,0,0,0,0,20,13,1,1,6,5
22748,14239,1,6156,0,20,44,45,27,51,1,1,100,0,0,31,8,1,0,12,12,33,12,6,5,5,3
22749,14239,1,6754,0,14,32,43,25,44,0,0,0,0,0,23,6,2,2,7,6,28,11,4,3,0,0
22750,14239,2,6156,0,19,38,50,22,41,1,1,100,0,0,32,13,2,2,4,4,26,11,4,3,8,5
22751,14239,2,6754,0,4,18,22,13,27,0,0,0,0,0,15,3,0,0,3,1,17,3,1,1,0,0
22752,14239,3,6156,0,6,11,54,8,14,1,1,100,0,0,7,3,1,1,3,2,4,2,0,0,7,4
22753,14239,3,6754,0,4,7,57,27,31,0,0,0,1,0,5,3,0,0,2,1,6,3,1,1,0,0
22754,14240,1,5597,1,36,73,49,42,81,0,0,0,3,0,71,34,2,2,0,0,71,34,2,2,0,0
22755,14240,1,6134,0,4,23,17,6,25,0,1,0,0,0,16,1,7,3,0,0,21,3,0,0,2,1
22756,14241,1,5629,0,31,82,37,31,82,0,0,0,0,0,67,22,8,6,7,3,79,29,3,2,0,0
22757,14241,1,6602,0,11,49,22,11,49,0,0,0,0,0,35,3,7,4,7,4,49,11,0,0,0,0
22758,14242,1,6563,0,9,31,29,12,34,0,0,0,0,0,22,1,7,6,2,2,25,3,0,0,6,6
22759,14242,1,5971,0,10,29,34,10,29,0,2,0,0,0,19,5,7,3,3,2,27,8,2,2,0,0
22760,14242,2,6563,0,13,33,39,17,38,0,2,0,0,0,26,9,6,4,1,0,24,7,8,5,1,1
22761,14242,2,5971,0,15,26,57,31,43,2,2,100,2,0,22,12,4,3,0,0,15,7,10,8,1,0
22762,14242,3,6563,0,7,18,38,10,22,0,0,0,0,0,11,3,6,3,1,1,13,5,5,2,0,0
22763,14242,3,5971,0,21,29,72,39,48,2,2,100,0,0,21,14,4,4,4,3,9,5,8,7,12,9
22764,14243,1,6739,0,7,17,41,16,26,2,2,100,0,0,10,4,4,3,3,0,12,3,0,0,5,4
22765,14243,1,6727,0,3,9,33,13,23,0,0,0,0,0,9,3,0,0,0,0,9,3,0,0,0,0
22766,14243,2,6739,0,21,27,77,25,31,1,4,25,0,0,9,6,6,5,12,10,15,9,2,2,10,10
22767,14243,2,6727,0,4,10,40,4,10,0,0,0,1,0,9,3,0,0,1,1,9,3,1,1,0,0
22768,14243,3,6739,0,35,46,76,123,147,0,2,0,0,0,40,30,3,3,3,2,7,5,0,0,39,30
22769,14243,3,6727,0,3,7,42,3,7,0,0,0,1,0,7,3,0,0,0,0,7,3,0,0,0,0
22770,14244,1,6203,0,27,49,55,35,58,1,1,100,0,0,39,19,7,5,3,3,37,19,10,7,2,1
22771,14244,1,6750,0,20,27,74,23,30,0,0,0,0,0,13,7,13,12,1,1,11,7,16,13,0,0
22772,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22773,14244,2,6750,0,9,24,37,10,26,0,0,0,0,0,16,3,6,4,2,2,20,8,4,1,0,0
22774,14245,1,6296,1,5,7,71,6,9,0,0,0,0,0,7,5,0,0,0,0,1,1,2,0,4,4
22775,14245,1,6760,0,0,3,0,0,3,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0
22776,14246,1,6535,0,1,13,7,1,13,0,1,0,0,0,12,0,1,1,0,0,13,1,0,0,0,0
22777,14246,1,6029,1,9,16,56,10,17,0,0,0,0,0,13,7,2,1,1,1,8,2,2,2,6,5
22778,14247,1,5622,0,17,63,26,17,63,0,0,0,0,0,46,6,5,0,12,11,63,17,0,0,0,0
22779,14247,1,6339,0,10,49,20,10,49,0,0,0,0,0,41,3,2,2,6,5,49,10,0,0,0,0
22780,14247,2,5622,0,20,67,29,20,67,0,3,0,0,0,52,12,7,2,8,6,62,19,5,1,0,0
22781,14247,2,6339,0,20,38,52,21,39,0,0,0,0,0,33,15,4,4,1,1,37,19,1,1,0,0
22782,14247,3,5622,0,25,71,35,29,75,2,4,50,1,0,60,18,7,4,4,3,60,17,6,4,5,4
22783,14247,3,6339,1,20,47,42,20,47,1,2,50,0,0,44,17,0,0,3,3,47,20,0,0,0,0
22784,14248,1,6666,0,10,20,50,14,24,0,6,0,0,0,12,4,7,5,1,1,7,0,13,10,0,0
22785,14248,1,5928,0,16,31,51,32,47,0,0,0,0,0,22,8,6,5,3,3,18,6,13,10,0,0
22786,14248,2,6666,0,7,14,50,7,15,1,8,12,0,0,10,3,2,2,2,2,8,3,6,4,0,0
22787,14248,2,5928,0,13,41,31,33,62,0,0,0,0,0,34,7,1,1,6,5,34,9,7,4,0,0
22788,14248,3,6666,0,6,25,24,8,28,0,6,0,0,0,18,4,6,2,1,0,16,1,9,5,0,0
22789,14248,3,5928,0,11,38,28,21,49,0,0,0,0,0,35,8,0,0,3,3,34,9,4,2,0,0
22790,14249,1,6616,0,25,39,64,52,68,0,0,0,0,0,38,24,1,1,0,0,4,0,1,1,34,24
22791,14249,1,6720,0,2,7,28,5,10,0,3,0,0,0,5,0,2,2,0,0,4,0,3,2,0,0
22792,14250,1,6558,0,12,36,33,16,40,0,0,0,1,0,31,8,2,2,3,2,33,9,3,3,0,0
22793,14250,1,6488,0,7,30,23,29,52,1,1,100,2,0,22,3,3,1,5,3,28,6,0,0,2,1
22794,14250,2,6558,0,3,7,42,15,19,0,0,0,0,0,4,2,1,0,2,1,7,3,0,0,0,0
22795,14250,2,6488,0,11,18,61,24,32,1,1,100,2,0,17,11,1,0,0,0,7,3,0,0,11,8
22796,14251,1,5837,0,20,96,20,20,96,0,0,0,0,0,92,18,3,1,1,1,95,20,1,0,0,0
22797,14251,1,6748,0,16,57,28,16,57,0,1,0,0,0,42,7,7,3,8,6,56,15,1,1,0,0
22798,14251,2,5837,0,34,109,31,36,111,0,0,0,0,0,106,33,3,1,0,0,106,33,3,1,0,0
22799,14251,2,6748,0,8,63,12,8,63,0,3,0,0,0,50,4,5,1,8,3,63,8,0,0,0,0
22800,14251,3,5837,0,38,146,26,38,146,0,0,0,1,0,138,36,6,1,2,1,145,37,1,1,0,0
22801,14251,3,6748,0,11,86,12,11,86,0,1,0,0,0,77,8,3,1,6,2,85,10,1,1,0,0
22802,14252,1,6646,0,3,6,50,14,20,1,1,100,0,0,4,1,1,1,1,1,4,1,2,2,0,0
22803,14252,1,6527,0,14,25,56,43,55,0,1,0,0,1,17,8,3,2,5,4,15,5,2,2,8,7
22804,14252,2,6646,0,3,13,23,24,39,2,2,100,0,0,12,3,0,0,1,0,9,0,2,2,2,1
22805,14252,2,6527,0,16,29,55,54,76,1,1,100,0,0,20,8,7,6,2,2,13,5,4,3,12,8
22806,14252,3,6646,0,20,32,62,58,74,1,1,100,0,0,18,6,14,14,0,0,5,0,6,4,21,16
22807,14252,3,6527,0,9,12,75,19,22,0,1,0,0,0,5,2,6,6,1,1,4,2,5,4,3,3
